interview__key,GPS__Latitude,GPS__Longitude,zinc,thatch,houseNum
32-81-12-07,17.2373334,96.632946,0,1,4
29-37-74-05,17.2392842,96.6188551,1,0,1
29-65-41-06,17.2394639,96.6251608,0,1,4
38-39-15-40,17.2491203,96.5386958,0,1,2
12-97-36-39,17.3343885,96.6264304,0,1,5
23-98-48-57,17.3405962,96.6322105,0,1,1
43-34-51-76,17.3441711,96.6254775,0,1,2
91-26-44-80,17.3443167,96.6253482,0,1,1
24-02-16-36,17.3443278,96.6255036,0,1,1
19-81-04-82,17.4145882,96.5201033,1,0,4
76-82-28-47,17.4147051,96.5202717,1,0,1
24-58-67-23,17.4168002,96.5208081,1,0,5
04-34-63-16,17.4197259,96.5222967,1,0,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
